0,457
1,423
2,391
3,361
4,338
5,312
6,295
7,284
17,26
18,25
19,24
20,23
21,22
31,35
32,34
36,45
37,44
38,43
39,42
40,47
41,46
48,54
49,53
50,52
58,56
59,55
60,64
61,63
67,65
68,16
69,458
70,459
71,460
72,461
73,462
74,463
75,464
76,465
77,466
78,467
79,468
80,469
81,470
82,471
83,472
84,473
85,474
86,475
87,476
88,477
89,478
90,479
91,480
92,481
93,482
94,483
95,484
96,485
97,486
98,487
99,488
100,489
101,490
102,491
103,422
104,15
105,424
106,425
107,426
108,427
109,428
110,429
111,430
112,431
113,432
114,433
115,434
116,435
117,436
118,437
119,438
120,439
121,440
122,441
123,442
124,443
125,444
126,445
127,446
128,447
129,448
130,449
131,450
132,451
133,452
134,453
135,454
136,455
137,456
138,390
139,14
140,392
141,393
142,394
143,395
144,396
145,397
146,398
147,399
148,400
149,401
150,402
151,403
152,404
153,405
154,406
155,407
156,408
157,409
158,410
159,411
160,412
161,413
162,414
163,415
164,416
165,417
166,418
167,419
168,420
169,421
170,360
171,13
172,362
173,363
174,364
175,365
176,366
177,367
178,368
179,369
180,370
181,371
182,372
183,373
184,374
185,375
186,376
187,377
188,378
189,379
190,380
191,381
192,382
193,383
194,384
195,385
196,386
197,387
198,388
199,389
200,337
201,12
202,339
203,340
204,341
205,342
206,343
207,344
208,345
209,346
210,347
211,348
212,349
213,350
214,351
215,352
216,353
217,354
218,355
219,356
220,357
221,358
222,359
223,310
224,311
225,11
226,313
227,314
228,315
229,316
230,317
231,318
232,319
233,320
234,321
235,322
236,323
237,324
238,325
239,326
240,327
241,328
242,329
243,330
244,331
245,332
246,333
247,334
248,335
249,336
250,290
251,291
252,292
253,293
254,294
255,10
256,296
257,297
258,298
259,299
260,300
261,301
262,302
263,303
264,304
265,305
266,306
267,307
268,308
269,309
270,280
271,281
272,282
273,283
274,9
275,285
276,286
277,287
278,288
279,289
